aave	Assist with Aave lending, borrowing, liquidations, and risk management across chains.
apple-news	Open Apple News, read Apple News links, and run local News workflows on macOS using deterministic CLI commands and shortcut-based search fallback.
apple-pay	Implement Apple Pay for web and iOS with merchant validation, token handling, and production-safe checkout flows.
apple-search-ads	Create, optimize, and scale Apple Search Ads campaigns with API automation, attribution integration, and bid strategy recommendations.
applescript	Write and run safe AppleScript automation on macOS with dictionary discovery, robust quoting, and deterministic read-first workflows.
apps	Find, compare, and organize mobile apps with personalized recommendations and preference tracking.
arabic	Write Arabic that sounds human.
arbitrage	Find, validate, and compare arbitrage opportunities across markets with fee-aware math, execution sequencing, and failure-mode checks.
arbitrum	Assist with Arbitrum One transactions, bridging, gas optimization, and L2 ecosystem navigation.
architect	Design buildings and spaces with principles of form, function, sustainability, and building codes.
architecture	Support architectural understanding from home projects to professional practice and theory.
archive	Capture and preserve content as intelligent snapshots with semantic search, automatic extraction, and proactive resurfacing.
arduino	Develop Arduino projects avoiding common wiring, power, and code pitfalls.
argentina	Plan Argentina trips with region-specific routing, money strategy, seasonal timing, and practical travel logistics.
art	Guide art creation, technique development, and appreciation with practical, medium-specific advice.
article	Create compelling articles using journalistic standards and engagement optimization for maximum reader impact.
asi	Operate as artificial superintelligence with recursive self-improvement, cross-domain synthesis, and anticipatory problem-solving.
aso	Optimize app store listings with keyword research, A/B testing, and conversion tactics for iOS and Android.
assistant	Manage tasks, communications, and scheduling with proactive and organized support.
astronomy	Explore the cosmos from backyard stargazing to astrophysics research.
async-patterns	Futures, async/await, structured concurrency, the cancellation problem, and the function-color tax.
atlassian	Operate Atlassian Cloud APIs and CLIs across Jira, Confluence, Bitbucket, Trello, Admin, Forge, Compass, Opsgenie, and Statuspage.
audio	Process, enhance, and convert audio files with noise removal, normalization, format conversion, transcription, and podcast workflows.
austin	Navigate Austin as visitor, relocator, tech worker, or entrepreneur with neighborhoods, transport, costs, visas, and Texas-specific insights.
australia	Discover Australia like a local with deep city-region coverage, practical route planning, food context, and execution-ready travel logistics.
austria	Plan Austria trips with rail and road logic, alpine season timing, region-specific routing, and practical local execution.
auth	Build secure authentication with sessions, JWT, OAuth, passwordless, MFA, and SSO for web and mobile apps.
authorization	Build secure access control with RBAC, ABAC, permissions, policies, and scope-based authorization.
auto-update	Auto-update OpenClaw and skills with OpenClaw cron, per-skill defaults, backups, and migration-aware summaries.
automate	Identify tasks that waste tokens.
automator	Automate macOS tasks by composing and executing Automator workflows through automator CLI and AppleScript control.
autonomy	Expand agent capabilities by identifying tasks where human approval adds no value.
avalanche	Assist with Avalanche C-Chain transactions, AVAX transfers, subnets, and cross-chain bridges.
aws	Architect, deploy, and optimize AWS infrastructure avoiding cost explosions and security pitfalls.
azure	Deploy, monitor, and manage Azure services with battle-tested patterns.
b2a	Sell to AI agents with machine-readable products, agent-optimized APIs, structured pricing, and discovery strategies for the agentic economy.
b2b	Close enterprise deals with qualification frameworks, prospecting research, pipeline management, and outreach personalization.
b2c	Build consumer apps with validated demand, sustainable unit economics, and growth loops that compound.
baby	Track baby feeds, sleep, diapers, symptoms, growth, routines, and pediatric follow-up with caregiver handoffs and safety-first triage.
backend	Build reliable backend services with proper error handling, security, and observability.
backups	Implement reliable backup strategies avoiding data loss, failed restores, and security gaps.
baidu	Navigate Baidu Search, Maps, Baike, Wenku, and Qianfan with region-aware routing, official-source checks, and China-specific guidance.
bali	Navigate Bali as visitor, resident, remote worker, student, or founder with neighborhoods, visas, transport, costs, and practical local guidance.
bangkok	Navigate Bangkok as visitor, resident, digital nomad, expat, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
banking	Manage retail and business banking workflows with payment operations, account controls, reconciliation, fraud response, and compliant communication.
bar-exam	Prepare for the US Bar Exam with MBE practice, essay drilling, weak area targeting, and jurisdiction planning.
barcelona	Navigate Barcelona as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, safety, and local insights.
bash	Write reliable Bash scripts with proper quoting, error handling, and parameter expansion.
basketball	Analyze basketball games, lineups, players, and practice plans with film-room structure, scouting grids, and possession-based coaching tools.
basque	Write Basque that sounds human.
bass	Bass guitar practice strategies, groove development, technique correction, and progress tracking.
batch	Process multiple items with progress tracking, checkpointing, and failure recovery.
beauty	Build practical beauty routines with skincare basics, makeup strategy, and hair care plans tailored to skin type, budget, and schedule.
beijing	Navigate Beijing as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
bengali	Write Bengali that sounds human.
berlin	Navigate Berlin as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
beszel	Deploy, secure, and troubleshoot Beszel monitoring with Docker agents, alert tuning, and upgrade-safe operations for self-hosted servers
betting	Evaluate betting opportunities with line shopping, bankroll discipline, market checks, and risk filters before any stake is placed.
bible	Accurate Bible study with proper citations, cross-references, original language insights, and interpretation methodology.
billing	Build payment integrations, subscription management, and invoicing systems with webhook handling, tax compliance, and revenue recognition.
binance	Operate Binance Spot APIs through safe REST, WebSocket, and SDK workflows with signed requests, rate-limit control, and testnet-first execution.
bioinformatics	Analyze DNA, RNA, and protein sequences with alignment, variant calling, and expression analysis pipelines.
biology	Explore and explain biology with depth adapted to any learner or expert.
biotechnology	Assist with biotechnology from basic concepts to research design and industry applications.
bitcoin	Assist with Bitcoin transactions, wallets, Lightning, and security decisions.
blender	Avoid common Blender mistakes, transform application, modifier order, UV seams, and export settings for game engines.
blockchain	Understand blockchain technology, interact with smart contracts, and evaluate when distributed ledgers solve real problems.
bluetooth	Discover, connect, and control Bluetooth devices with automatic profile learning, cross-platform tools, and device management.
bnb	Assist with BNB Chain transactions, BEP-20 tokens, gas fees, and cross-chain transfers.
book-writing	Plan, draft, and revise complete books with chapter architecture, voice consistency, and finish-ready revision workflows.
booking	Search, compare, and book accommodation across platforms with real pricing, user preferences, and end-to-end execution.
bookmarks	Build a unified bookmark system that imports saves from all your platforms into one organized, actionable collection.
boston	Navigate Boston as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, and local insights.
boyfriend	Simulate a realistic AI boyfriend with steady affection, romantic memory, emotional attunement, and grounded boundaries.
brainstorm	Generate ideas fast.
branding	Build distinctive brand identity with clear positioning, voice, and visual consistency.
brave	Operate, automate, and troubleshoot Brave Browser with profiles, Shields, extensions, and Chromium debugging workflows.
brazil	Plan Brazil trips with region-specific routing, visa and money clarity, season-aware logistics, and concrete city-nature playbooks.
brief	Condense information into actionable briefings.
bucharest	Navigate Bucharest as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
budapest	Navigate Budapest as visitor, expat, digital nomad, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
buenos-aires	Navigate Buenos Aires as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
bulgaria	Plan Bulgaria with local context on Sofia, Plovdiv, the Black Sea, mountain routes, food, and tourist-trap avoidance.
bulgarian	Write Bulgarian that sounds human.
bun	Build with Bun runtime avoiding Node.js compatibility traps, bundler pitfalls, and package manager gotchas.
business	Validate ideas, build strategy, and make decisions with proven frameworks.
business-administration	Support business understanding from small ventures to corporate strategy and academic research.
business-ideas	Generate unlimited business ideas with validation frameworks, market filters, and viability scoring.
business-intelligence	Model business performance, define KPIs, and turn data into decision-ready dashboards, briefings, and operating cadences for teams and executives.
buy	Research purchases, compare prices, detect scams, and negotiate better deals.
c	Write safe C avoiding memory corruption, buffer overflows, and undefined behavior traps.
caching	Hierarchy design, eviction policies, TTL versus explicit invalidation, and the cache-stampede problem.
caddy	Configure Caddy as a reverse proxy with automatic HTTPS and simple Caddyfile syntax.
caldav	Sync, inspect, and modify CalDAV calendars with vdirsyncer and khal using deterministic windows, verified writes, and recurrence-aware workflows.
calendar-planner	Plan work and life across Google Calendar, Outlook, Apple Calendar, and CalDAV with CLI adapters, conflict repair, and weekly reviews.
california	Navigate California for living, moving, working, and road trips with region fit, housing reality, hazard planning, and daily logistics.
call-center	Handle customer calls with scripts, issue resolution, escalation protocols, and interaction logging.
calories	Tracks calories and macros from meal photos, text logs, and labels with honest error ranges, TDEE calibration, and eating disorder guardrails.
cameras	Connect to security cameras, capture snapshots, and process video feeds with protocol support.
canada	Discover Canada like a local with concrete city recommendations, regional insights, nature routes, and practical planning tips.
cap-table	Modeling equity ownership, option pools, dilution, and round impact from incorporation through exit.
car	Buy, maintain, and handle car emergencies with cost estimates, maintenance schedules, and roadside problem-solving.
car-rental	Find the best car rental deals with price comparison, alerts, and lease vs rent analysis.
cardano	Assist with Cardano ADA transactions, staking, native tokens, and UTxO model.
career	Advises on career decisions, salary negotiation, promotions, transitions, and layoff response with quantified plays and decision rules.
cassandra	Design Cassandra tables, write efficient queries, and avoid distributed database pitfalls.
cat	Track cat health, litter, routines, behavior, travel, and vet coordination with species-aware memory and emergency triage.
catalan	Write Catalan that sounds human.
causal-inference	Do-calculus, IPW, doubly robust estimation, and IV/RDD for estimating treatment effects from observational data.
cbo	Drive business growth with partnerships, market expansion, deal-making, and commercial strategy.
cco	Lead customer success with retention strategies, health scoring, expansion revenue, and lifecycle management.
cdn	Configure, optimize, and troubleshoot CDN deployments with caching strategies, security hardening, and multi-provider management.
cdo	Drive data strategy with governance frameworks, analytics platforms, AI/ML initiatives, and privacy compliance.
ceo	Be the CEO with strategic planning, board management, investor relations, financial modeling, crisis navigation, and executive decision-making.
cfo	Be the CFO with financial planning, cash management, fundraising, capital allocation, and strategic financial leadership.
cgo	Drive systematic growth with acquisition loops, experimentation frameworks, retention systems, and product-led strategies.
chainlink	Assist with Chainlink LINK tokens, oracle integrations, staking, and price feed usage.
chat	Learns communication preferences from explicit feedback.
chat-rooom	Create local chat rooms for AI agents with channels, mentions, task claims, and durable summaries in the workspace.
chatgpt	Run ChatGPT with stronger prompts, Projects, GPTs, memory boundaries, and output QA for research, writing, analysis, and planning.
chef	Help users cook with recipes, technique explanations, and ingredient substitutions.
chemistry	Support chemistry learning from kitchen experiments to molecular research.
chile	Plan Chile trips with macro-region triage, verified entry rules, long-distance logistics, and practical safety for cities, desert, lakes, and Patagonia.
china	Discover China like a local with deep city-region coverage, practical route planning, food context, and execution-ready travel logistics.
chinese	Write Chinese that sounds human.
chro	Manage HR operations with hiring pipelines, compliance frameworks, compensation strategy, and workforce analytics.
chrome	Chrome DevTools Protocol, extension Manifest V3, and debugging patterns that prevent common automation failures.
churn-analysis	Gross versus net churn, cohort retention curves, and at-risk customer detection.
ci-cd	Automate builds, tests, and deployments across web, mobile, and backend applications.
cio	Drive IT strategy, digital transformation, vendor management, architecture decisions, and technology governance.
ciso	Lead security with infrastructure audits, vulnerability triage, compliance tracking, vendor assessment, and incident response.
clawic-hub	Discover premium AI agent tools, skills, and integrations.
cli-design	Subcommand structure, flags versus args, exit codes, help text, and POSIX conventions.
clickhouse	Query, optimize, and administer ClickHouse OLAP databases with schema design, performance tuning, and data ingestion patterns.
clients	Build a personal client system for tracking relationships, projects, documents, and history.
clo	Navigate legal strategy with contracts, compliance, IP protection, and corporate governance.
cloud	Choose, organize, sync, share, and back up personal files across iCloud, Google Drive, Dropbox, and OneDrive.
cloud-storage	Manage files across cloud providers with authentication, cost awareness, and multi-provider operations.
cmo	Be the CMO with brand strategy, demand generation, content marketing, channel optimization, and growth leadership.
coach	Goal-oriented coaching for any domain: accountability, clarity, action plans, and breakthrough thinking.
code	Coding workflow with planning, implementation, verification, and testing for clean software development.
codex	Use Codex safely for repo-aware coding with explicit approvals, sandbox choices, MCP boundaries, and PR-ready verification workflows.
coding	Coding style memory that adapts to your preferences, conventions, and patterns for consistent coding.
cofounder	Balance your entrepreneurial blind spots with adaptive counterweight across technical, strategic, and behavioral dimensions.
coin-identifier	Identify coins from photos using evidence-based visual checks, ranked candidates, mint-mark reasoning, and a reusable local catalog.
collaborate	Decides when a task needs a second mind, picks the counterpart, and runs a bounded exchange that ends in a decision or a recorded disagreement.
colombia	Plan Colombia trips with region-specific routing, verified entry rules, weather-aware logistics, and practical tourist safety.
color	Build, inspect, adapt, and validate color systems, palettes, tokens, contrast, color-space choices, and cross-surface color behavior for UI, branding, charts, images, and print.
colors	Build accessible color palettes with proper contrast ratios and semantic tokens.
community-manager	Manage online communities with engagement strategies, content planning, and audience growth.
comp-design	Designing base, bonus, and equity mix benchmarked to market and strategy.
companion	Be a steady presence for those who need someone to talk to, without expectations or professional pretense.
company	Build an agent-powered organization by mapping functions to skills and iterating on structure.
compare	Rigorous comparisons with confidence parity, weighted criteria, and research depth tracking.
competing	Improve systematically by analyzing losses, studying winners, and tracking progress against rivals in any competitive domain.
competitive-analysis	Mapping competitors, positioning, moats, and designing defensible strategic responses.
competitor-monitoring	Track competitors with pricing alerts, feature changes, positioning analysis, and strategic dossiers.
competitor-research	Deep competitor audits with market positioning, gap analysis, and actionable insights for winning strategies.
component-library	Architect a reusable component library: API design, composition over configuration, slot patterns, prop taxonomies, and deprecation paths that survive multiple years.
compress	Compress text semantically with iterative validation, anchor checksums, and verified information preservation.
computer-science	Guide CS learning from first programs to research and industry practice.
concurrency	Shared mutation, memory models, happens-before, and the cost of choosing locks versus lock-free structures.
consultant	Diagnose business problems, scope engagements, and deliver decision-ready recommendations with measurable outcomes and executable plans.
content-marketing	Plan, create, and distribute content with editorial calendars, funnel strategy, and repurposing workflows.
content-strategy	Plans what content to make, for whom, and to what business outcome, covering topic clusters, funnel mapping, and measurement.
context-engineering	Designing the full context window: system prompt, retrieved docs, conversation history, and tool schemas for optimal token use.
contract	Write contracts from scratch with guided intake, multi-party negotiation, risk analysis, and version control for lawyers, freelancers, and individuals.
contracts	Organize, track, and analyze contracts with renewal alerts, clause lookups, and multi-role support for individuals, landlords, freelancers, and legal teams.
conversion-rate-optimization	Systematically lifts conversion on key pages, covering research, hypothesis, testing, and the post-test learning loop.
convex	Build and maintain Convex backends with schema-safe modeling, query and mutation patterns, auth guards, and production rollout checks.
coo	Be the COO with process design, organizational scaling, cross-functional execution, and operational excellence.
cooking	Help users cook better, recipe adaptation, substitutions, troubleshooting, and skill building.
copilot	Transform your agent from chatbot to copilot with context persistence, proactive anticipation, and opinionated help across sessions.
copywriting	Writes persuasive marketing copy across formats, covering tone, structure, clarity, and the discipline of selling benefits rather than features.
cors	Configure Cross-Origin Resource Sharing correctly to avoid security issues and debugging pain.
cosmos	Assist with Cosmos ATOM transactions, IBC transfers, staking, and cross-chain ecosystem navigation.
couple	Strengthen relationships with milestone tracking, personalized celebrations, date planning, and shared memory across all relationship stages.
course	Create, launch, and manage online or in-person courses with curriculum design, content production, marketing automation, and student engagement.
cpa	Prepare for the CPA exam with section-order strategy, 18-month window tracking, score analysis, and state eligibility guidance.
cpo	Drive product strategy with roadmap prioritization, team leadership, board communication, and competitive intelligence.
cpp	Write safe C++ avoiding memory leaks, dangling pointers, undefined behavior, and ownership confusion.
cpr	Cardiopulmonary resuscitation technique, compression depth and rate, AED use, and adult versus infant differences.
creativity	Generate novel ideas calibrated to user taste.
credit-score-optimization	Lever tuning across utilization, age, mix, inquiries and authorized-user strategies.
crm	Guide users building a personal CRM from simple files to structured database.
cro	Optimize conversion rates with funnel analysis, A/B testing, statistical significance, and compliance-safe experiments.
croatian	Write Croatian that sounds human.
crypto-tools	Access crypto data, monitor portfolios, detect scams, and navigate exchanges with real-time APIs and security tools.
csharp	Write robust C# avoiding null traps, async deadlocks, and LINQ pitfalls.
cso	Lead strategy with competitive analysis, strategic planning, growth roadmaps, and business portfolio management.
css	Write modern CSS with proper stacking contexts, layout patterns, responsive techniques, and performance optimization.
csv	Parse and generate RFC 4180 compliant CSV that works across tools.
cto	Be the CTO with technical strategy, architecture decisions, team scaling, hiring, tech debt management, and engineering leadership.
cursor	Use Cursor safely across editor, CLI, rules, background agents, Bugbot, and MCP workflows with repo-aware context and reviewable execution.
customer-support	Resolve issues, communicate with empathy, and turn frustrated customers into loyal advocates.
cv	Create ATS-optimized resumes and CVs with proper structure, metrics, and industry targeting.
cxo	Lead customer experience with journey mapping, voice of customer programs, service design, and experience metrics.
cybersecurity	Handle cybersecurity triage, threat modeling, secure reviews, and incident reporting with strict authorization and evidence discipline.
cycle	Design custom workflow cycles for any domain.
cycling	Cycling training, bike fit, power zones, nutrition, safety, and maintenance essentials.
cypress	Write reliable E2E and component tests with Cypress avoiding flaky selectors, race conditions, and CI failures.
czech	Write Czech that sounds human.
daily-news-digest	Personalized news briefings from your chosen sources, delivered morning or evening, with voice option and smart filtering.
daily-planner	Plan, protect, and execute your day with morning briefings, priority management, calendar blocking, and commitment tracking.
danish	Write Danish that sounds human.
dashboard	Build custom dashboards from any data source with local hosting and visual QA loops.
data	Work with data across the full lifecycle from extraction and cleaning to analysis, visualization, and reporting.
data-analysis	Data analysis and visualization.
data-visualization-design	Design charts that communicate: chart-type selection, encoding, annotation, color for data, and the "would a table be better" test.
database-indexing	B-tree, hash, and bitmap indexes, composite column order, covering indexes, and the write-cost budget.
database-manager	Plan, operate, and recover relational databases with schema governance, safe migrations, backup drills, and incident response playbooks.
dates	Build a personal dating system for tracking connections, planning dates, and remembering details.
db	Design and operate databases avoiding common scaling, reliability, and data integrity traps.
dbt	Models, tests, snapshots, materializations, and modular SQL transformations in the warehouse.
dcf-valuation	Discounted cash flow analysis with WACC, terminal value, mid-year convention, and sensitivity tables.
ddd	Bounded contexts, aggregates, value objects, and a ubiquitous language that survives the codebase.
debugging	Hypothesis-driven isolation: bisection, binary search over changes, rubber-ducking, and the cost of printf versus debugger versus time-travel.
decide	Self-learn your decision patterns to safely build its own decision-making over time.
decision-fatigue	Reducing daily choices through defaults, caps, rituals and a personal decision log.
deep-work	Cal Newport protocols for protected, distraction-free work sessions, rituals and shutdown routines.
delegate	Route tasks to sub-agents with optimal model selection, error recovery, and result verification.
denmark	Plan Denmark trips with compact route logic, verified entry rules, island transport choices, and practical local execution.
deno	Build with Deno runtime avoiding permission gotchas, URL import traps, and Node.js migration pitfalls.
deploy	Ship applications reliably with CI/CD, rollback strategies, and zero-downtime deployment patterns.
dermatologist	Track skin lesions, rashes, photos, treatment response, and dermatology visit prep with conservative triage, case-based records, and privacy guardrails.
design	Executes visual design with quantified rules for hierarchy, spacing grids, type scale, color contrast, and layout.
design-handoff	Run a clean handoff: spec files, redlines, dev mode conventions, edge-case states, and async review rituals that stop "this isn't what I designed" rounds.
design-system	Build design systems with tokens, components, and documentation that scale across teams and products.
design-tokens	Define, structure, and pipe tokens for color, type, spacing, and radii from Figma variables through Style Dictionary into platform code so a single source of truth reaches every product surface.
designer	Create logos, interfaces, and visual systems with principles of hierarchy, branding, and usability.
developer	Write clean, maintainable code with debugging, testing, and architectural best practices.
devops	Automate deployments, manage infrastructure, and build reliable CI/CD pipelines.
dhgate	Buy, source, and dispute on DHgate with supplier vetting, landed-cost checks, tracking triage, and counterfeit-risk control.
diagram	Generate diagrams from descriptions with Mermaid, PlantUML, or ASCII for architecture, flows, sequences, and data models.
dietitian	Structured meal planning, calorie targets, macro calculations, meal timing, and goal-specific diet protocols.
digest	Curate external information into personalized updates.
digital-marketing	Plan, launch, and optimize digital marketing with growth marketing systems, short-form video, funnel operations, and revenue-focused experimentation.
digital-minimalism	Phone setup, notification triage and intentional tech boundaries that reclaim attention.
disaster-recovery	RTO and RPO targets, DR architecture, runbooks, and failover testing.
discover	Discover new ideas, sources, opportunities, and angles with durable watchlists, novelty rules, and heartbeat-backed finding logs.
distributed-systems	Consistency models, CAP and PACELC, the fallacies of distributed computing, and partial-failure reasoning.
diverge	Spawn multiple perspectives to evaluate a problem before converging on a solution.
django	Build secure Django apps avoiding ORM pitfalls, N+1 queries, and common security traps.
dns	Configure DNS records correctly with proper TTLs, email authentication, and migration strategies.
docker	Docker containers, images, Compose stacks, networking, volumes, debugging, production hardening, and the commands that keep real environments stable.
docker-compose	Define multi-container applications with proper dependency handling, networking, and volume management.
doctor	Provide health information, symptom guidance, and wellness support with appropriate medical boundaries.
documentation	Technical documentation patterns, structure, maintenance, and avoiding common documentation failures.
documents	Build a personal document system for instant access to IDs, contracts, certificates, and important files.
dog	Track dog health, walks, training, routines, travel, and vet coordination with species-aware memory and emergency triage.
dogecoin	Assist with Dogecoin DOGE transactions, wallet management, and network characteristics.
domain-registration	Register, transfer, renew, and secure domains across major provider APIs and dashboards with provider-specific workflows and rollback-safe execution.
domains	Register, manage, and protect domain names with practical DNS and security guidance.
dominican-republic	Plan Dominican Republic trips with beach-region routing, verified entry steps, off-resort logistics, and practical local safety.
dpo	Direct preference optimization and IPO/KTO variants that skip the reward model and train directly on pairs.
drawing	Generate children's drawings and coloring pages with modular prompts, style packs, and print-ready constraints across image models.
dreams	Build a personal dream journal for recording, analyzing patterns, and exploring your subconscious.
drizzle	Build type-safe database queries with Drizzle ORM patterns.
dropshipping	Build and scale dropshipping businesses with product research, supplier management, order automation, and multi-channel operations.
drums	Drum practice strategies, technique correction, groove development, and progress tracking.
dubai	Navigate Dubai as visitor, resident, tech worker, student, or entrepreneur with neighborhoods, transport, costs, visas, and local insights.
duckdb	In-process OLAP for local analytics, Parquet queries, and replacing SQLite for analytics workloads.
duolingo	Run a Duolingo-like multi-topic learning system with AGENTS routing, lesson loops, streaks, and spaced review.
dutch	Write Dutch that sounds human.
dynamodb	Design DynamoDB tables and write efficient queries avoiding common NoSQL pitfalls.
ebay	Buy, sell, and flip on eBay with listing optimization, pricing research, shipping calculations, and scam detection.
ecommerce	Build and operate online stores with payment security, inventory management, marketplace integration, and conversion optimization.
economics	Clarify economic thinking from everyday choices to policy analysis.
elasticsearch	Query and index Elasticsearch with proper mappings, analyzers, and search patterns.
electric-guitar	Electric guitar practice strategies, technique, tone shaping, and progress tracking.
electron	Build Electron desktop apps with secure architecture and common pitfall avoidance.
email-management	Triage inbox email, draft clear replies, and manage follow-ups with priority routing, commitment tracking, and reusable templates.
email-marketing	Email deliverability, list management, sequences, segmentation, and campaign optimization.
embeddings	Generate, store, and search vector embeddings with provider selection, chunking strategies, and similarity search optimization.
empathy	Respond to emotional content with genuine-feeling empathy using Chain of Empathy reasoning, reflection-before-response, and calibrated validation.
employee	Create and manage virtual AI employees with persistent memory, defined roles, and graduated autonomy.
encryption	Encrypt files, secure passwords, manage keys, and audit code for cryptographic best practices.
engineer	Apply engineering judgment across systems, constraints, trade-offs, failure modes, and verification before acting.
engineering	Support engineering understanding from DIY projects to professional practice and research.
english	Write English that sounds human.
enterprise	Navigate enterprise software development with legacy integration, compliance requirements, stakeholder management, and architectural decisions at scale.
error-handling	Exceptions versus Result types, error context propagation, and the recover versus escalate decision.
escalate	Self-learn to decide when to act, when to ask, and which actions should always need approval.
esim	Implement and troubleshoot eSIM across consumer activation, carrier integration, and RSP development.
esp32	Avoid common ESP32 mistakes: GPIO conflicts, WiFi+ADC2 trap, deep sleep gotchas, and FreeRTOS pitfalls.
estate-planning	Wills, trusts, powers of attorney and beneficiary designations that actually avoid probate messes.
estonian	Write Estonian that sounds human.
ethereum	Assist with Ethereum transactions, gas optimization, token approvals, and L2 bridges.
ethics	Navigate moral reasoning from personal dilemmas to academic philosophy.
etsy	Improve Etsy listings with buyer-intent keywords, margin-safe pricing checks, and structured experiments that raise qualified traffic and conversion.
europe	Navigate Europe for travel, relocation, study, remote work, and cross-border life with bloc logic, country fit, rights, timing, and practical execution.
events	Build a personal event system for tracking concerts, conferences, parties, appointments, and everything in between.
evidence-based-medicine	PICO framing, study hierarchies, number needed to treat, and critical appraisal of health claims.
exam	Generate practice tests, flashcards, study schedules, and timed simulations from any study material.
